__dir__,__implementation__,__variant__,__nist-level__,__target__,__length-secret-key__,__length-public-key__,__random-bytes__,__length-signature__,__namespace__,__nistkat-sha256__,__testvectors-sha256__
cross-rsdp-256-small,avx2,RSDP,5,SIG_SIZE,64,153,32,43592,PQCLEAN_CROSSRSDP256SMALL_AVX2_,edbaa3ba93305ab8ba26026707a6268c7fc14fb8751cc925334858588ea70813,81a6e3da4d5ed4b8dbc795db4c913cd33038544fe9c46c4af79684c380cfac4d
cross-rsdpg-128-balanced,clean,RSDPG,1,BALANCED,32,54,16,9236,PQCLEAN_CROSSRSDPG128BALANCED_CLEAN_,c6b2161f278836643dd26dc246666cade73d85fe57db9ffecb75cb03485ec087,d35dc26c15ee0ffdaf6e4b6f803352e755dee4f5ff3142e5ea5c55fee755e387
cross-rsdpg-128-fast,clean,RSDPG,1,SPEED,32,54,16,12472,PQCLEAN_CROSSRSDPG128FAST_CLEAN_,b11338addeee39e743ea7430d236700e0b560054ac608948902cad35754ccffb,084dd3e495c92469df03d1cefa6614fb85f04daf83b764b7ac5fb103cf834eef
cross-rsdpg-128-small,clean,RSDPG,1,SIG_SIZE,32,54,16,7956,PQCLEAN_CROSSRSDPG128SMALL_CLEAN_,8b9b05c5f57aa52e74c0f8b93d395d65db99416665ec35611609dc0409cb56b0,7e604b6e83783054e4ae4440a83679d51e0d966fc79f7568f0a0f6f1542ca095
cross-rsdpg-192-balanced,clean,RSDPG,3,BALANCED,48,83,24,23380,PQCLEAN_CROSSRSDPG192BALANCED_CLEAN_,466d8081ab408e5b17197f4bde3a6c1aaea655f5d3700391cbc662b5e9b323de,e9fc4e5eee99998dcdf3224b539340f4cb6b87654beeaccc7dae2d14466923c3
cross-rsdpg-192-fast,clean,RSDPG,3,SPEED,48,83,24,27404,PQCLEAN_CROSSRSDPG192FAST_CLEAN_,b064abfbffc78eb251fa6515d1141f50c6df2cef00ad54851e4749efda7221ed,085c508323119ff3cb9f09cfc3dc22bdec21bbf041e82f017de33f3bc22b1a3e
cross-rsdpg-192-small,clean,RSDPG,3,SIG_SIZE,48,83,24,18188,PQCLEAN_CROSSRSDPG192SMALL_CLEAN_,7d15a4662f4f9040067ad97a16af7ff1210b52cfea2c49811d774d23b415cef8,3ed8d758efc0a9e778ba24ef03dd917ddfb44ad5995aea0612ad0dc21c357357
cross-rsdpg-256-balanced,clean,RSDPG,5,BALANCED,64,106,32,40134,PQCLEAN_CROSSRSDPG256BALANCED_CLEAN_,ceea919ce269791f90dbf7423cd63b6131e2ef5bc62e1b0186353096e4591d5b,fa4db5c85569509f83396c28c5aab7ea48003ba9f4d76b3298e952a56c80e3fd
cross-rsdpg-256-fast,clean,RSDPG,5,SPEED,64,106,32,48938,PQCLEAN_CROSSRSDPG256FAST_CLEAN_,d38091fde1de33d0a560b4940edf30d733fcb9995f32345054898bc2a38f9b5e,0b64d0230d08deef721daa19f0975346092d25a721b28a54d0437c6f7a0b8516
cross-rsdpg-256-small,clean,RSDPG,5,SIG_SIZE,64,106,32,32742,PQCLEAN_CROSSRSDPG256SMALL_CLEAN_,956789e69fb40997b48a70fcc71e7a73e331cd92ae00ce8e8df50d86effbe21d,454362ca527475463265f1663d8cfa0e7456d53d6b7574a6800076a3c307ad33
cross-rsdpg-128-balanced,avx2,RSDPG,1,BALANCED,32,54,16,9236,PQCLEAN_CROSSRSDPG128BALANCED_AVX2_,c6b2161f278836643dd26dc246666cade73d85fe57db9ffecb75cb03485ec087,d35dc26c15ee0ffdaf6e4b6f803352e755dee4f5ff3142e5ea5c55fee755e387
cross-rsdpg-128-fast,avx2,RSDPG,1,SPEED,32,54,16,12472,PQCLEAN_CROSSRSDPG128FAST_AVX2_,b11338addeee39e743ea7430d236700e0b560054ac608948902cad35754ccffb,084dd3e495c92469df03d1cefa6614fb85f04daf83b764b7ac5fb103cf834eef
cross-rsdpg-128-small,avx2,RSDPG,1,SIG_SIZE,32,54,16,7956,PQCLEAN_CROSSRSDPG128SMALL_AVX2_,8b9b05c5f57aa52e74c0f8b93d395d65db99416665ec35611609dc0409cb56b0,7e604b6e83783054e4ae4440a83679d51e0d966fc79f7568f0a0f6f1542ca095
cross-rsdpg-192-balanced,avx2,RSDPG,3,BALANCED,48,83,24,23380,PQCLEAN_CROSSRSDPG192BALANCED_AVX2_,466d8081ab408e5b17197f4bde3a6c1aaea655f5d3700391cbc662b5e9b323de,e9fc4e5eee99998dcdf3224b539340f4cb6b87654beeaccc7dae2d14466923c3
cross-rsdpg-192-fast,avx2,RSDPG,3,SPEED,48,83,24,27404,PQCLEAN_CROSSRSDPG192FAST_AVX2_,b064abfbffc78eb251fa6515d1141f50c6df2cef00ad54851e4749efda7221ed,085c508323119ff3cb9f09cfc3dc22bdec21bbf041e82f017de33f3bc22b1a3e
cross-rsdpg-192-small,avx2,RSDPG,3,SIG_SIZE,48,83,24,18188,PQCLEAN_CROSSRSDPG192SMALL_AVX2_,7d15a4662f4f9040067ad97a16af7ff1210b52cfea2c49811d774d23b415cef8,3ed8d758efc0a9e778ba24ef03dd917ddfb44ad5995aea0612ad0dc21c357357
cross-rsdpg-256-balanced,avx2,RSDPG,5,BALANCED,64,106,32,40134,PQCLEAN_CROSSRSDPG256BALANCED_AVX2_,ceea919ce269791f90dbf7423cd63b6131e2ef5bc62e1b0186353096e4591d5b,fa4db5c85569509f83396c28c5aab7ea48003ba9f4d76b3298e952a56c80e3fd
cross-rsdpg-256-fast,avx2,RSDPG,5,SPEED,64,106,32,48938,PQCLEAN_CROSSRSDPG256FAST_AVX2_,d38091fde1de33d0a560b4940edf30d733fcb9995f32345054898bc2a38f9b5e,0b64d0230d08deef721daa19f0975346092d25a721b28a54d0437c6f7a0b8516
cross-rsdpg-256-small,avx2,RSDPG,5,SIG_SIZE,64,106,32,32742,PQCLEAN_CROSSRSDPG256SMALL_AVX2_,956789e69fb40997b48a70fcc71e7a73e331cd92ae00ce8e8df50d86effbe21d,454362ca527475463265f1663d8cfa0e7456d53d6b7574a6800076a3c307ad33
